Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
topaz-ring,20 ct Swiss Blue Topaz - Sterling Silver Ring,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
lemon-quartz-ring,30 ct Portuguese-Cut Lemon Quartz - Sterling Silver Ring,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
highest-quality-23-15-cts-rwanda-amethyst-set-in-14k-yellow-gold-with-peridots,23 ct Royal Purple Amethyst & Peridots - 14k Yellow Gold,Title,Default Title,,,,,"",,PT,Rua de Santos Pousada 272,,0,0,0,1,1,
kunzite-ring,5.5 Cts Light Pink Kunzite & Sky Blue Topaz Ring - Sterling Silver,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
spodumene-ring,"9,5 cts Triphane Spodumene - Sterling Silver Ring",Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
lapis-lazuli-ring,"3,8 Cts Royal Blue Lapis-Lazuli - Sterling Silver Ring",Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
opal-pendant-4,Opal pendant,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
opal-cabochon-ring,Opal cabochon ring,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
opal-pendant-1,Opal Pendant,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
opal-ring,Opal ring,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
opal-ring-4,5 ct Ethiopian Welo Opal - Sterling Silver Ring,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
opal-pendant-3,Opal pendant,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
moonstone-ring,9 ct Moonstone & Orange Zircons - Sterling Silver Ring,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
fluorite-ring-2,8 ct Green & Yellow Fluorite - Sterling Silver Ring,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
yellow-quartz-ring,7.5 ct Octogonal Yellow Quartz - Sterling Silver Ring,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
opal-ring-2,6.8 ct Natural Dark Base Ethiopian Opal - 14k White Gold Ring,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,0,0,
fluorite-ring,8 ct Green and Yellow Fluorite & Peridots - Sterling Silver Ring,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
9-2-cts-amazing-opal-set-in-19-2k-gold,9.2 ct Welo Chaff Rainbow Opal & Tanzanites - 19.2k Yellow Gold Ring,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
19-2k-garnet-yellow-gold,4.23 ct Red & Yellow Garnets - 19.2k Yellow Gold,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
opal-pendant,Opal Pendant,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
opal-pendant-19-2k,27.2 ct Dark Base Honeycomb Opal - 19.2k Yellow Gold Pendant,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
malachite-pendant,25.4 ct Malachite & Citrine - Sterling Silver Pendant,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
opal-pendant-2,25 ct Malachite & Topaz - Sterling Silver Pendant,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
opal-ring-1,1.7 ct Dark Base Opal - Sterling Silver Ring,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
moonstone-ring-1,14 ct Flower cut Moonstone - Sterling Silver Ring,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
amethyst-ring,6 ct Dark Violet Amethyst & Peridots - Sterling Silver Ring,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
fluorite-ring-1,11.2 ct Golden Yellow Fluorite - Sterling Silver Ring,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,1,1,
yellow-quartz-trillion,18 ct Trillion Lemon Quartz - Sterling Silver Ring,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,0,0,
opal-ring-3,3.6 ct Welo Opal Ring - Sterling Silver Ring,Title,Default Title,,,,,"",,,Rua de Santos Pousada 272,,0,0,0,0,0,
